"feature","id","fc","pval","qval"
"gene","MSTRG.19056",0.348580198373252,2.18034860610672e-07,0.00326398186334176
"gene","MSTRG.20750",0.275805556090861,3.41404633685816e-06,0.022329696873276
"gene","MSTRG.20523",0.016922908901218,5.16190644994641e-06,0.022329696873276
"gene","MSTRG.275",0.271973888326035,6.61723939754388e-06,0.022329696873276
"gene","MSTRG.6837",0.0725272778535091,7.45814858826854e-06,0.022329696873276
"gene","MSTRG.15484",2.14260499805567,1.0676157266909e-05,0.0266370123809379
"gene","MSTRG.21140",3.6089525992438,1.65533340856783e-05,0.0354004873232291
"gene","MSTRG.2470",0.0115252456414496,3.8878500416728e-05,0.0616532621664307
"gene","MSTRG.1419",0.302582466529878,4.16847459215886e-05,0.0616532621664307
"gene","MSTRG.1418",0.0011604076000558,4.24394600111455e-05,0.0616532621664307
"gene","MSTRG.2468",0.186613051746918,5.67029971897393e-05,0.0616532621664307
"gene","MSTRG.13508",19.8025473926431,5.99999551162966e-05,0.0616532621664307
"gene","MSTRG.17630",0.3189881313833,6.39082645260691e-05,0.0616532621664307
"gene","MSTRG.20143",5.13275944550357,7.26049110659766e-05,0.0616532621664307
"gene","MSTRG.4631",0.268725522178173,9.04271382160537e-05,0.0616532621664307
"gene","MSTRG.1434",0.63794462677685,0.000102263612853593,0.0616532621664307
"gene","MSTRG.6977",0.100509864949539,0.000102639563469342,0.0616532621664307
"gene","MSTRG.10517",0.261906330650899,0.000102853114244406,0.0616532621664307
"gene","MSTRG.17655",2.20222454753919,0.000102896309243983,0.0616532621664307
"gene","MSTRG.9265",6.22317958368776,0.000103536542158222,0.0616532621664307
"gene","MSTRG.895",0.0175367243267277,0.00010610074455164,0.0616532621664307
"gene","MSTRG.19211",2.08250793223584,0.000111750724371418,0.0616532621664307
"gene","MSTRG.20091",0.110517918834074,0.00011233746700956,0.0616532621664307
"gene","MSTRG.19253",0.679281322284865,0.000125604746293195,0.0616532621664307
"gene","MSTRG.11220",0.226141800166216,0.000128099590466224,0.0616532621664307
"gene","MSTRG.22144",0.216740793102514,0.000149504441791848,0.0616532621664307
"gene","MSTRG.4209",0.120993929361638,0.000172943119767899,0.0616532621664307
"gene","MSTRG.19979",2.23242837218669,0.000173149762653368,0.0616532621664307
"gene","MSTRG.6278",0.0162414846549612,0.000181106991122504,0.0616532621664307
"gene","MSTRG.749",0.183826230899042,0.00019083667183506,0.0616532621664307
"gene","MSTRG.20066",0.0426261503652634,0.0001942321574252,0.0616532621664307
"gene","MSTRG.3974",0.0758041974013762,0.000199543801756574,0.0616532621664307
"gene","MSTRG.12177",0.442716323186804,0.000201198173640948,0.0616532621664307
"gene","MSTRG.19509",6.10434726500896,0.000209194701460635,0.0616532621664307
"gene","MSTRG.18896",0.000107242391506251,0.000211637046465984,0.0616532621664307
"gene","MSTRG.21152",0.168213236475328,0.000214508896334786,0.0616532621664307
"gene","MSTRG.16988",0.147909032037491,0.000246687174316751,0.0616532621664307
"gene","MSTRG.6565",52.7686358752508,0.000255237104383355,0.0616532621664307
"gene","MSTRG.3075",0.432711683425301,0.000256854646007776,0.0616532621664307
"gene","MSTRG.3307",14.514267999018,0.000263364890377815,0.0616532621664307
"gene","MSTRG.18886",0.430101090484012,0.000265869682835818,0.0616532621664307
"gene","MSTRG.3971",0.0524955598310583,0.000265883951921619,0.0616532621664307
"gene","MSTRG.7467",14.0800668125678,0.000274925759584432,0.0616532621664307
"gene","MSTRG.6949",0.238666132907434,0.000283169711159603,0.0616532621664307
"gene","MSTRG.2864",0.0843753448016612,0.000298251986132425,0.0616532621664307
"gene","MSTRG.3687",0.0863627937410277,0.000309362391706314,0.0616532621664307
"gene","MSTRG.20057",0.144821109628464,0.000311744815685189,0.0616532621664307
"gene","MSTRG.8588",0.164666685984581,0.000313064186661771,0.0616532621664307
"gene","MSTRG.12049",0.071611151683199,0.000326305757242462,0.0616532621664307
"gene","MSTRG.9020",0.358555721818638,0.00033909732346582,0.0616532621664307
"gene","MSTRG.20205",0.151830282326858,0.000340230079903026,0.0616532621664307
"gene","MSTRG.9818",0.213170829523881,0.000341712697928931,0.0616532621664307
"gene","MSTRG.4591",1.5153146391949,0.000344525727266509,0.0616532621664307
"gene","MSTRG.8137",0.249613283056834,0.000353352059508483,0.0616532621664307
"gene","MSTRG.2326",0.088540825772993,0.000364977885608297,0.0616532621664307
"gene","MSTRG.16447",0.728228634438247,0.00037260201425604,0.0616532621664307
"gene","MSTRG.6719",5.70725472761357,0.000376713680174112,0.0616532621664307
"gene","MSTRG.1269",0.536200702695777,0.000377194415399407,0.0616532621664307
"gene","MSTRG.22944",22.2206078327542,0.000379661914408413,0.0616532621664307
"gene","MSTRG.18704",2.51471037943212,0.000385008762035177,0.0616532621664307
"gene","MSTRG.3698",0.216184636070585,0.000394412012648782,0.0616532621664307
"gene","MSTRG.20536",0.337984764340659,0.000403910782952099,0.0616532621664307
"gene","MSTRG.2251",0.680829461552813,0.000406491610833504,0.0616532621664307
"gene","MSTRG.6770",0.107476829787859,0.00041511491787638,0.0616532621664307
"gene","MSTRG.3774",3.58455647366355,0.000415294457764892,0.0616532621664307
"gene","MSTRG.9333",0.235411630994647,0.000415775079433356,0.0616532621664307
"gene","MSTRG.10312",0.242872350753749,0.000417402627401531,0.0616532621664307
"gene","MSTRG.4422",0.0779510716875901,0.000417855022974978,0.0616532621664307
"gene","MSTRG.13447",3.26178762036511,0.000419542036853793,0.0616532621664307
"gene","MSTRG.9901",0.14948768317495,0.000422466821914935,0.0616532621664307
"gene","MSTRG.18929",0.383972551452887,0.000429072292848609,0.0616532621664307
"gene","MSTRG.20918",0.0865351694102545,0.000445446779047787,0.0616532621664307
"gene","MSTRG.15660",0.120795499500227,0.000451169121241879,0.0616532621664307
"gene","MSTRG.7172",18.7397780707974,0.000454507523982572,0.0616532621664307
"gene","MSTRG.10447",2.55584888984095,0.00046257850081699,0.0616532621664307
"gene","MSTRG.3907",0.501620792072602,0.000466161764411499,0.0616532621664307
"gene","MSTRG.593",0.948639846050929,0.000474312761227447,0.0616532621664307
"gene","MSTRG.17979",0.302202948499766,0.000478874981219457,0.0616532621664307
"gene","MSTRG.14136",0.134991120407656,0.000483651449288303,0.0616532621664307
"gene","MSTRG.6422",2.38506094297006,0.000494172689594286,0.0616532621664307
"gene","MSTRG.4274",6.19972258603099,0.000495016790229785,0.0616532621664307
"gene","MSTRG.19570",0.321923156848209,0.000505395221079952,0.0616532621664307
"gene","MSTRG.20539",0.0880733164766417,0.000509297255355978,0.0616532621664307
"gene","MSTRG.1479",0.162138516093684,0.00051721005783012,0.0616532621664307
"gene","MSTRG.15833",9.31433640299867,0.000518577850658564,0.0616532621664307
"gene","MSTRG.21148",0.112781582155245,0.00053648592048694,0.0616532621664307
"gene","MSTRG.6763",1.56986540673327,0.000552573783791255,0.0616532621664307
"gene","MSTRG.11501",0.333122910889934,0.000564044592923696,0.0616532621664307
"gene","MSTRG.20698",1.6407207308412,0.000575388166008328,0.0616532621664307
"gene","MSTRG.12126",0.00770996113600112,0.000588008105387283,0.0616532621664307
"gene","MSTRG.5572",4.43437125366805,0.00059969515526348,0.0616532621664307
"gene","MSTRG.6876",0.0307381540014353,0.000603166645087416,0.0616532621664307
"gene","MSTRG.11160",0.074686578908991,0.000605476041096953,0.0616532621664307
"gene","MSTRG.19067",0.342117412154689,0.000614688709941635,0.0616532621664307
"gene","MSTRG.9196",0.578900086781826,0.00062176877180331,0.0616532621664307
"gene","MSTRG.11202",3.18522777252886,0.000639424449815351,0.0616532621664307
"gene","MSTRG.18538",20.8000663638237,0.000661977324119545,0.0616532621664307
"gene","MSTRG.9407",0.270842329312496,0.000666771721589798,0.0616532621664307
"gene","MSTRG.12507",1.80465387243553,0.000668583000140721,0.0616532621664307
"gene","MSTRG.2769",0.0423725335570628,0.000678597391865265,0.0616532621664307
"gene","MSTRG.21308",0.102252199220026,0.000680613521916174,0.0616532621664307
"gene","MSTRG.19150",0.252929834489839,0.000685393099898235,0.0616532621664307
"gene","MSTRG.12447",0.103907755455177,0.000686076937794766,0.0616532621664307
"gene","MSTRG.8309",0.157927685142491,0.000688142988273688,0.0616532621664307
"gene","MSTRG.28",0.298486271804204,0.000688417574153943,0.0616532621664307
"gene","MSTRG.13625",0.550465857738439,0.000690270439756113,0.0616532621664307
"gene","MSTRG.10861",0.289423283068457,0.000702658066401129,0.0616532621664307
"gene","MSTRG.20678",1.93888121355182,0.000703046757180692,0.0616532621664307
"gene","MSTRG.17535",3.25625806406611,0.000708919095657068,0.0616532621664307
"gene","MSTRG.7071",0.484172158166526,0.000714421732065373,0.0616532621664307
"gene","MSTRG.8426",0.0659633727855171,0.000725606975019111,0.0616532621664307
"gene","MSTRG.9050",0.463220540289699,0.00072625432635165,0.0616532621664307
"gene","MSTRG.6350",0.0273068131732739,0.000728636410872952,0.0616532621664307
"gene","MSTRG.13198",0.29987561060506,0.000729221837397653,0.0616532621664307
"gene","MSTRG.17133",0.00984235530129848,0.000735380711647027,0.0616532621664307
"gene","MSTRG.12396",94.5470689471742,0.000745777550180682,0.0616532621664307
"gene","MSTRG.13439",5.74925173177971,0.000746922394445626,0.0616532621664307
"gene","MSTRG.4514",0.128132966873345,0.00074792116279021,0.0616532621664307
"gene","MSTRG.19113",0.0278068408134006,0.000770043429882183,0.0616532621664307
"gene","MSTRG.10505",0.0213658133062476,0.00077303311242316,0.0616532621664307
