"feature","id","fc","pval","qval"
"gene","Herpud2",0.275805556090861,3.41404633685816e-06,0.022329696873276
"gene","Csad",0.016922908901218,5.16190644994641e-06,0.022329696873276
"gene","Esr1",0.271973888326035,6.61723939754388e-06,0.022329696873276
"gene","Slc30a1",0.0725272778535091,7.45814858826854e-06,0.022329696873276
"gene","Trim24",2.14260499805567,1.0676157266909e-05,0.0266370123809379
"gene","LOC102547109",3.6089525992438,1.65533340856783e-05,0.0354004873232291
"gene","Glyat",0.0115252456414496,3.8878500416728e-05,0.0616532621664307
"gene","LOC100361547",0.0011604076000558,4.24394600111455e-05,0.0616532621664307
"gene","Surf2",19.8025473926431,5.99999551162966e-05,0.0616532621664307
"gene","Clic4",0.3189881313833,6.39082645260691e-05,0.0616532621664307
