,rn4_genes,rn4_isoforms,rn6_genes,rn6_isoforms
Down,842,658,912,849
NoSig,11068,14463,11828,15160
Up,561,416,620,562
Total,12471,15537,13360,16571
%nosig,0.89,0.93,0.89,0.91
%sig,0.11,0.07,0.11,0.09
