"","ensembl_transcript_id","symbol","logFC","unshrunk_logFC","logCPM","PValue","FDR"
"5253","ENSRNOT00000022307","Gnmt",-6.639067452407,6.71614343798041,2096.7140526361,1.18961181398926e-08,0.000104018526808796
"8908","ENSRNOT00000047126","Abcb1b",8.57270617997361,9.25345335730195,1544.58790912982,2.88077121967352e-08,0.000104018526808796
"2837","ENSRNOT00000012500","Serpina6",-5.00311511385792,8.02632023803038,1353.75452465343,4.21833224805235e-08,0.000104018526808796
"628","ENSRNOT00000002576","Prodh",-4.66530846116544,5.3878579880097,1332.18366672288,4.4188516132521e-08,0.000104018526808796
"3251","ENSRNOT00000014180","Car3",-9.12747044979685,10.9361086307422,1300.80778227908,4.73406407920855e-08,0.000104018526808796
"5305","ENSRNOT00000022496","Amy1a",-4.78463840562153,8.48235427437326,1269.13678404237,5.08368388093574e-08,0.000104018526808796
"10520","ENSRNOT00000065978","DHTK1_RAT",-4.10764994729207,7.89897706936629,1150.45079922693,6.75164611953625e-08,0.000106564494570282
"10128","ENSRNOT00000061904","C8g",-3.75841250986023,6.4254254018877,1108.54534965721,7.5156660963674e-08,0.000106564494570282
"8348","ENSRNOT00000041367","Sult2al1",-6.6374577681563,8.5205300767297,985.059071868902,1.05706791838253e-07,0.000106564494570282
"10401","ENSRNOT00000065232","RGD1561812",-4.24331211812339,7.32170813521177,950.445008765297,1.17207009524551e-07,0.000106564494570282
"8362","ENSRNOT00000041499","D3ZE56_RAT",-4.73580353137251,4.52232691795472,901.924543491644,1.36344468817468e-07,0.000106564494570282
"9646","ENSRNOT00000056680","Pxmp2",-3.57709510657631,6.43733492598954,890.116287772453,1.41629726232672e-07,0.000106564494570282
"1375","ENSRNOT00000005875","Rdh7",-4.00560174258026,6.26922995389168,884.049453637455,1.44452603166039e-07,0.000106564494570282
"2598","ENSRNOT00000011486","Angptl3",-4.82376180901744,8.01311798553302,883.481493616506,1.4472073293988e-07,0.000106564494570282
"8578","ENSRNOT00000043908","Apon",-3.83701338918632,6.42317863569754,881.886008664055,1.45477539136755e-07,0.000106564494570282
"3621","ENSRNOT00000015723","Mbl1",-3.42993403209397,7.02597639833943,871.349205040136,1.50611694249846e-07,0.000106564494570282
"1072","ENSRNOT00000004686","Otc",-3.58955423748661,7.95585604030425,851.986899381872,1.60700074379123e-07,0.000106564494570282
