,ensembl_gene_id,external_gene_id,con1_ExpCounts,con2_ExpCounts,mic1_ExpCounts,mic2_ExpCounts,mic3_ExpCounts
6648,ENSRNOG00000017249,Zfp366,0.9052006904,0.1576526436,1.0615217983,1.2086222957,1.0170296647
6649,ENSRNOG00000017250,Gmpr,-0.771168893,-0.329202058,1.1451278682,0.4993671215,0.9579773941
6650,ENSRNOG00000017251,Wdr55,5.4753897369,5.5530561922,6.6207696952,6.6941523778,6.5422634085
6651,ENSRNOG00000017253,Ccdc107,3.8789470422,4.1647249937,4.4723566468,4.3848695332,4.7925225868
6652,ENSRNOG00000017254,Nsun2,5.7280331415,5.9499866152,7.1273273041,7.2626139271,7.20188064
6653,ENSRNOG00000017259,Tacc3,2.3597619427,2.5230940219,3.8619227094,4.6243568066,3.9911261916
6654,ENSRNOG00000017260,Cdr2,1.2027368821,1.5619672806,4.2258356895,4.2619502663,4.5007553642
6655,ENSRNOG00000017265,Tmem131,5.0147751713,5.0633774905,6.1984976938,6.3473560806,5.6668414642
6656,ENSRNOG00000017272,Mrps27,4.5905199889,4.6574842944,5.1122104771,5.3190238585,5.0349507911
6657,ENSRNOG00000017277,Igsf6,1.403225435,1.481719904,3.6070957235,3.1624070967,3.96893949
6658,ENSRNOG00000017279,Tmem50a,4.8442518086,4.9168876261,6.4369591983,6.3180194944,6.7044530073
6659,ENSRNOG00000017282,Tesk2,2.4759996463,2.7455853517,2.6021585803,2.3230509675,2.4416463878
6660,ENSRNOG00000017284,Nop16,3.8563938611,3.9081850239,5.2125213427,5.1962944159,5.4401919116
6661,ENSRNOG00000017285,Tab1,3.5212239007,3.2360819566,4.6589284926,4.6398142692,4.581223648
6662,ENSRNOG00000017286,Ephx2,6.2752776501,5.7439774344,5.1757172405,4.8018751347,6.388095533
6663,ENSRNOG00000017290,Zfp335,3.8563938611,3.8293147104,5.2051622039,5.249242465,5.0277898307
6664,ENSRNOG00000017291,Sord,9.1528893067,9.1561464502,8.6944662456,8.5509280371,8.6478605792
6665,ENSRNOG00000017294,Zranb1,4.040651041,3.8613820732,4.0580222564,3.9877346883,3.9985442588
6666,ENSRNOG00000017295,Sh3glb2,3.2913738072,3.0257979901,4.520116371,4.4090252364,4.354221073
6667,ENSRNOG00000017297,Cab39,5.2702030064,5.5993318528,7.3267114356,7.2489725533,7.5033781297
6668,ENSRNOG00000017298,Cutc,3.2094468938,3.5822515001,4.9168922279,4.8316936246,5.0771858031
6669,ENSRNOG00000017299,Phrf1,4.3138900863,4.6665874933,5.6713881347,5.7212326538,5.4753596197
6670,ENSRNOG00000017306,AABR07071876.1,1.8434298099,2.2974418193,3.3693025727,2.9266200494,3.3799492361
6671,ENSRNOG00000017307,Prss23,4.0995959009,4.1349944437,4.4437487591,4.6958484964,4.8884668605
6672,ENSRNOG00000017309,Rsrp1,8.0651434806,7.2912537897,7.7177509907,7.6493832395,7.689819866
6673,ENSRNOG00000017310,Rnpc3,2.1802499608,2.6570111177,3.7425126727,3.5855608146,3.7339474825
6674,ENSRNOG00000017311,Me3,0.1384049596,1.6745431027,0.4222110292,1.3165415591,1.3740057422
6675,ENSRNOG00000017318,Zfp322a,2.5193890138,2.0808412409,3.5908610399,3.6795133296,3.6242772919
