"","ensembl_gene_id","symbol","logFC","unshrunk_logFC","logCPM","PValue","FDR"
"4178","ENSRNOG00000010079","Car3",-9.17868654961912,11.0985541985294,1446.59502792602,6.85995366841675e-10,3.35145548738264e-06
"8801","ENSRNOG00000020420","Pklr",-5.90666523793696,7.81571352173,1265.76462044195,1.13192358142683e-09,3.35145548738264e-06
"97","ENSRNOG00000000281","Prodh",-4.64189655368278,6.12921417707274,1147.77049069229,1.6334320539739e-09,3.35145548738264e-06
"3909","ENSRNOG00000009438","Serpina6",-5.06112857128162,8.13206961837964,1132.04998132495,1.72005639791493e-09,3.35145548738264e-06
"9516","ENSRNOG00000022719","Abcb1b",7.31110420466714,9.37673748175604,1112.88823270419,1.83366301417388e-09,3.35145548738264e-06
"6899","ENSRNOG00000016349","Gnmt",-6.41306467312028,6.85578468228271,1104.51799617135,1.88626415278137e-09,3.35145548738264e-06
"5435","ENSRNOG00000012896","Cyp2c11",-7.64610487510291,10.6174916902482,1101.59690671567,1.90506975184452e-09,3.35145548738264e-06
"6806","ENSRNOG00000016168","Amy1a",-4.8356843153668,8.62822021821686,1062.69051685943,2.17973144206027e-09,3.35145548738264e-06
"12339","ENSRNOG00000043131","LOC100360095",-9.8628326789528,7.29251826871317,1004.86710713719,2.68775414046029e-09,3.35145548738264e-06
"11261","ENSRNOG00000032394","Tymp",-6.81741659783028,6.62930232877141,973.305328244141,3.02881425875481e-09,3.35145548738264e-06
"6544","ENSRNOG00000015519","Ces1d",-5.93953180762277,8.39479873243916,949.303490313479,3.32551786213595e-09,3.35145548738264e-06
"9703","ENSRNOG00000023587","DHTK1_RAT",-4.20615989310059,6.91772585206447,944.079886347006,3.39490198397723e-09,3.35145548738264e-06
"10682","ENSRNOG00000028701","C8g",-3.81112932758084,6.56379345672127,937.157289528523,3.48970134849614e-09,3.35145548738264e-06
"1861","ENSRNOG00000004391","Rdh7",-4.26721818533191,8.65038658906272,892.745388763501,4.18481264644811e-09,3.41560014478993e-06
"2941","ENSRNOG00000007218","Leap2",-5.18036650473708,4.56076157449981,886.242402074139,4.30083692106307e-09,3.41560014478993e-06
"3873","ENSRNOG00000009350","Sez6",-7.82636578585729,6.69305859342063,882.081166740988,4.37722085035154e-09,3.41560014478993e-06
"2879","ENSRNOG00000007069","Adhfe1",-5.90672648058859,6.59103607911745,855.123672221164,4.91600200419919e-09,3.61036970720158e-06
"11435","ENSRNOG00000033466","Apon",-3.8890288774055,6.56130287052451,821.183849479357,5.71971588189873e-09,3.64853330030951e-06
"1727","ENSRNOG00000004089","ENPP2_RAT",-3.8051838677161,6.31783477957709,818.844320161463,5.78104581006324e-09,3.64853330030951e-06
"4704","ENSRNOG00000011269","Sult1c3",-5.80916967115794,7.68259951538097,816.450347492408,5.84466688075213e-09,3.64853330030951e-06
"3570","ENSRNOG00000008638","Angptl3",-4.75828437371746,7.33529940003916,797.501837967121,6.38084322111993e-09,3.79356321979439e-06
"4917","ENSRNOG00000011706","Mbl1",-3.48266166115875,7.16613182080292,769.179347989278,7.30401922097989e-09,3.87338423306498e-06
"1121","ENSRNOG00000002636","Abat",-4.08118567985643,6.41542992078137,768.784572291839,7.31804252876641e-09,3.87338423306498e-06
"12362","ENSRNOG00000043201","Cabc1",-4.44190240788064,8.1337482454932,760.926692285245,7.60439672612306e-09,3.87338423306498e-06
"6063","ENSRNOG00000014371","Cdh13",7.14064945213067,5.18826974872139,753.323437194672,7.89510063218803e-09,3.87338423306498e-06
"6602","ENSRNOG00000015654","Ghr",-3.74381951214963,8.04566450319021,749.009124771536,8.06631878731994e-09,3.87338423306498e-06
"7504","ENSRNOG00000017702","Gpld1",-3.69459564545978,7.52377844887075,732.191950985182,8.78032790903407e-09,4.01286170090394e-06
"5573","ENSRNOG00000013241","LOC100361347",-6.69016052525155,9.38904361075209,725.580390194285,9.08285540511189e-09,4.01286170090394e-06
"1438","ENSRNOG00000003370","Otc",-3.63688182333348,8.06868032147547,716.734169976785,9.50857905220197e-09,4.01286170090394e-06
"7278","ENSRNOG00000017180","Slc17a2",-4.11383340696073,5.72783908680129,714.055705320155,9.64243900898023e-09,4.01286170090394e-06
"6510","ENSRNOG00000015438","Ces1e",-3.46199829441332,6.95795293821333,702.207984911957,1.02639749463178e-08,4.133733135638e-06
"4321","ENSRNOG00000010389","Ndrg2",-5.04711649036369,8.65423648640981,694.401023979993,1.07014038644118e-08,4.17521960147442e-06
"5725","ENSRNOG00000013589","F1LS07_RAT",-4.20231601034572,7.76058031049538,674.123140640029,1.19530559273781e-08,4.43036294580457e-06
"2424","ENSRNOG00000005794","Slc10a1",-6.00566060730207,8.51577093763529,672.440299982334,1.20650652909376e-08,4.43036294580457e-06
"9597","ENSRNOG00000023116","Tmem195",-3.41750617657134,7.61232631667251,664.580554855156,1.26061527644333e-08,4.48423573525751e-06
"7244","ENSRNOG00000017105","F1M891_RAT",-2.97425587262891,6.8103699156724,658.692045714857,1.30317788890927e-08,4.48423573525751e-06
"11755","ENSRNOG00000037446","Pxmp2",-3.46847162465193,6.54764119092171,646.908771836274,1.39395416959829e-08,4.48423573525751e-06
"12143","ENSRNOG00000042298","D3ZUI8_RAT",-7.67266548374205,6.30526305824888,643.208271749663,1.42410364158563e-08,4.48423573525751e-06
"11121","ENSRNOG00000031279","Sult2a1",-6.04817820897765,8.74101292000542,641.880215063293,1.43512478839763e-08,4.48423573525751e-06
"7779","ENSRNOG00000018292","D3ZGK7_RAT",-4.11625240141388,9.69258934246913,641.693915786152,1.43667945062315e-08,4.48423573525751e-06
"7854","ENSRNOG00000018426","Apoc1",-5.62293536910795,9.69693533177981,635.247665131071,1.49181095979903e-08,4.54274630075388e-06
