"","ensembl_gene_id","symbol","logFC","unshrunk_logFC","logCPM","PValue","FDR"
"291","ENSRNOG00000010079","Car3",-9.10758824848531,-9.10931058779967,11.0716727960398,5.07631166396926e-11,3.55687753791449e-07
"926","ENSRNOG00000043131","LOC100360095",-9.80658186727557,-9.84484327449792,7.22134917894144,7.48792083948577e-11,3.55687753791449e-07
"387","ENSRNOG00000012896","Cyp2c11",-8.72927015160872,-8.73112909477775,10.579915417486,1.10997865198912e-10,3.55687753791449e-07
"630","ENSRNOG00000020420","Pklr",-5.80440885774208,-5.8061428050954,7.71771809146846,1.14084757851479e-10,3.55687753791449e-07
"307","ENSRNOG00000010478","LOC299282",-8.10567362474246,-8.10653757776469,11.0669083195009,1.4276569950579e-10,3.56086207707342e-07
"827","ENSRNOG00000032394","Tymp",-6.73609066156806,-6.74338280126528,6.5275679589003,2.41081431938111e-10,5.01087756283363e-07
"271","ENSRNOG00000009350","Sez6",-7.7633130989783,-7.77863632810047,6.48865137155704,3.57307205909854e-10,5.62153529061596e-07
"402","ENSRNOG00000013241","LOC100361347",-6.74988152412379,-6.75091114312029,9.44807421629549,3.87936954084968e-10,5.62153529061596e-07
"189","ENSRNOG00000007069","Adhfe1",-5.825802834305,-5.8299461887979,6.41120485422285,4.12692794547278e-10,5.62153529061596e-07
"500","ENSRNOG00000016349","Gnmt",-6.38689103522874,-6.39165714098533,6.79484922777593,4.50768606416162e-10,5.62153529061596e-07
"871","ENSRNOG00000036680","RGD1307119",-7.19254388188497,-7.22073565089718,4.89753902020554,5.00752312319649e-10,5.67716553358031e-07
"435","ENSRNOG00000014447","Gck",-7.98166095978751,-8.00135530763523,6.2708707541982,7.40207697083595e-10,7.69260849194126e-07
"677","ENSRNOG00000022719","Abcb1b",7.18766312158597,7.18989364754167,9.41679527368189,9.18952261638531e-10,8.40823312775989e-07
"910","ENSRNOG00000042298","D3ZUI8_RAT",-7.69923681121245,-7.71564322523942,6.25056996688601,9.73191226366569e-10,8.40823312775989e-07
"273","ENSRNOG00000009438","Serpina6",-4.99025789168981,-4.99103950351323,8.07798328649211,1.01133427083953e-09,8.40823312775989e-07
"811","ENSRNOG00000031279","Sult2a1",-5.9965167988147,-5.99752338003106,8.71397149352428,1.11080292169689e-09,8.65801452280118e-07
"331","ENSRNOG00000011269","Sult1c3",-5.78894068226322,-5.79072485485208,7.66562727575526,1.48700976678873e-09,1.05805982460761e-06
"569","ENSRNOG00000018606","Olr59",-8.82585503051357,-8.93222805897585,4.61833357040746,1.5271491334245e-09,1.05805982460761e-06
"494","ENSRNOG00000016168","Amy1a",-4.7585003289369,-4.75897027932774,8.59482102401626,1.87807327983405e-09,1.23270799330582e-06
"344","ENSRNOG00000011474","Ppp1r3b",-4.67884633960542,-4.67966056088727,7.69312809766478,2.39569306655145e-09,1.49383441164816e-06
"196","ENSRNOG00000007218","Leap2",-5.21128096010902,-5.22105791538149,4.3481138953279,2.52666862700327e-09,1.50048021177894e-06
"561","ENSRNOG00000018426","Apoc1",-5.622911747206,-5.62330075336129,9.73633338540566,3.06286535378745e-09,1.73622699214015e-06
"9","ENSRNOG00000000281","Prodh",-4.46767909457544,-4.47007903987916,5.82668535112648,3.22862473718145e-09,1.75061648249521e-06
"246","ENSRNOG00000008638","Angptl3",-4.74961656174579,-4.75071799609194,7.3212952503138,3.84533549127575e-09,1.99813245465416e-06
"154","ENSRNOG00000005794","Slc10a1",-5.93965947034763,-5.94081653477114,8.46443156502005,4.23628127854352e-09,2.10661224485606e-06
"928","ENSRNOG00000043201","Cabc1",-4.43398387248133,-4.4345052837755,8.11683963233731,4.39194277654219e-09,2.10661224485606e-06
"302","ENSRNOG00000010389","Ndrg2",-5.00080099953796,-5.00135079560709,8.6094864197406,4.69609262855903e-09,2.16907300632443e-06
"556","ENSRNOG00000018339","Cabp2",-5.59933367464507,-5.6080106795421,4.99898718639929,5.06544541265677e-09,2.24682094931298e-06
"124","ENSRNOG00000004391","Rdh7",-4.21700549256963,-4.21732995755128,8.59650471209947,5.22474601315665e-09,2.24682094931298e-06
"817","ENSRNOG00000031612","Gls2",-4.03978916142883,-4.04078827901716,6.73355355777804,6.04866100941059e-09,2.43896657850683e-06
