"","ensembl_transcript_id","symbol","logFC","unshrunk_logFC","logCPM","PValue","FDR"
"11","ENSRNOT00000022307","Gnmt-201",-6.639067452407,-6.64412193204764,6.71614343798041,1.80300823384074e-08,0.000151313162326459
"26","ENSRNOT00000087017","LOC299282-208",-8.49936151925574,-8.50005833091092,11.4371553280109,2.21615395004548e-08,0.000151313162326459
"18","ENSRNOT00000047126","Abcb1b-204",8.57270617997361,8.57770045052568,9.25345335730195,2.93198284380582e-08,0.000151313162326459
"28","ENSRNOT00000088853","Cyp2c11-201",-9.19278416820168,-9.19528737331112,10.2852771953039,3.69755421409883e-08,0.000151313162326459
"8","ENSRNOT00000014180","Car3-201",-9.12747044979685,-9.12899543414954,10.9361086307422,4.65071374351933e-08,0.000152255066535336
"7","ENSRNOT00000012500","Serpina6-201",-5.00311511385792,-5.00377936952724,8.02632023803038,7.62124540978376e-08,0.000207920276854584
"12","ENSRNOT00000022496","Amy1a-201",-4.78463840562153,-4.78505557204173,8.48235427437326,9.39705761348468e-08,0.000212011686325801
"2","ENSRNOT00000002576","Prodh1-201",-4.66530846116544,-4.66857782050652,5.3878579880097,1.03616194673249e-07,0.000212011686325801
"14","ENSRNOT00000041367","Sult2a2-202",-6.6374577681563,-6.63890516367468,8.5205300767297,1.38630798505585e-07,0.000252138615637546
"22","ENSRNOT00000065978","Dhtkd1-201",-4.10764994729207,-4.10804369943512,7.89897706936629,1.80428670819327e-07,0.000267764891278996
"24","ENSRNOT00000077053","Cdh13-202",6.86839061313589,6.89889577211351,4.96883602338446,1.85561803657205e-07,0.000267764891278996
"23","ENSRNOT00000068043","LOC100360095-201",-10.0108563786763,-10.0267818098793,8.41984723466081,2.22250687596126e-07,0.000267764891278996
"29","ENSRNOT00000091845","Hao2-203",-4.38405244697979,-4.38483025287914,7.18704218808442,2.80509364239812e-07,0.000267764891278996
"6","ENSRNOT00000011486","Angptl3-201",-4.82376180901744,-4.82435424765035,8.01311798553302,2.8159469334535e-07,0.000267764891278996
"15","ENSRNOT00000041499","Pik3c2g-201",-4.73580353137251,-4.74203873367975,4.52232691795472,2.85555027756541e-07,0.000267764891278996
"27","ENSRNOT00000087471","LOC102549726-203",4.76170480127408,4.76621925586942,5.58225669092003,2.89214379888611e-07,0.000267764891278996
"20","ENSRNOT00000061904","C8g-201",-3.75841250986023,-3.759272651095,6.4254254018877,2.95347028028217e-07,0.000267764891278996
"21","ENSRNOT00000065232","AABR07057436.1-202",-4.24331211812339,-4.24395535272396,7.32170813521177,3.10322247167561e-07,0.000267764891278996
"19","ENSRNOT00000048543","Sez6-201",-7.78949324521346,-7.80201639004255,6.56717254442217,3.10802916140321e-07,0.000267764891278996
"30","ENSRNOT00000092017","Cyp2d3-204",-3.94076547782681,-3.94200786223397,6.07300972617242,3.74643833411113e-07,0.000292458369736494
"5","ENSRNOT00000009462","Adhfe1-201",-5.85830939611725,-5.8618510188132,6.45401566722073,3.83172537642248e-07,0.000292458369736494
"1","ENSRNOT00000001990","LOC100361492-201",5.29060850899178,5.30266535642159,4.71484764773311,4.33108049290502e-07,0.000292458369736494
"3","ENSRNOT00000005875","AABR07057436.1-201",-4.00560174258026,-4.00673758581489,6.26922995389168,4.66641691588141e-07,0.000292458369736494
"25","ENSRNOT00000077912","LOC100365958-203",-3.99483233738908,-3.99644022891515,5.7512110541859,4.67479195682755e-07,0.000292458369736494
"13","ENSRNOT00000024622","Ces1f-203",-4.0790881135762,-4.07916153310387,10.2949093768827,5.15774827110026e-07,0.000292458369736494
"17","ENSRNOT00000046169","Apoc1-201",-5.57341357454844,-5.57376028162848,9.52912445702337,5.2481115042173e-07,0.000292458369736494
"16","ENSRNOT00000043908","Apon-201",-3.83701338918632,-3.83792174235783,6.42317863569754,5.27033775116136e-07,0.000292458369736494
"10","ENSRNOT00000015961","Faah-201",-4.08229379621245,-4.08581775290434,4.69800273064784,5.48631888199891e-07,0.000292458369736494
"9","ENSRNOT00000014235","Acsl1-201",-3.91994827975497,-3.92000636920727,10.4767651555119,5.76758486166016e-07,0.000292458369736494
"4","ENSRNOT00000007825","Slc10a1-201",-5.95442166915351,-5.95542885176538,8.36837567133237,6.17220208426336e-07,0.000292458369736494
