"","ensembl_gene_id","symbol","logFC","unshrunk_logFC","logCPM","PValue","FDR"
"12","ENSRNOG00000010079","Car3",-9.17868654961912,-9.18021181976916,11.0985541985294,1.74022643471995e-09,1.25149151354255e-05
"27","ENSRNOG00000020420","Pklr",-5.90666523793696,-5.90820591945463,7.81571352173,3.73293462682497e-09,1.25149151354255e-05
"28","ENSRNOG00000022719","Abcb1b",7.31110420466714,7.3131687260683,9.37673748175604,3.8024917143528e-09,1.25149151354255e-05
"17","ENSRNOG00000012896","Cyp2c11",-7.64610487510291,-7.64684018781159,10.6174916902482,4.89125300294438e-09,1.25149151354255e-05
"11","ENSRNOG00000009438","Serpina6",-5.06112857128162,-5.061821282915,8.13206961837964,6.44658608895575e-09,1.25149151354255e-05
"23","ENSRNOG00000016349","Gnmt",-6.41306467312028,-6.41728360818558,6.85578468228271,7.1176070209419e-09,1.25149151354255e-05
"35","ENSRNOG00000043131","LOC100360095",-9.8628326789528,-9.89695095435155,7.29251826871317,7.67636337231266e-09,1.25149151354255e-05
"22","ENSRNOG00000016168","Amy1a",-4.8356843153668,-4.83610569753705,8.62822021821686,8.11649338669931e-09,1.25149151354255e-05
"1","ENSRNOG00000000281","Prodh",-4.64189655368278,-4.64395745191653,6.12921417707274,1.05323077453724e-08,1.25149151354255e-05
"20","ENSRNOG00000015519","Ces1d",-5.93953180762277,-5.9405892285106,8.39479873243916,1.05996260629685e-08,1.25149151354255e-05
"32","ENSRNOG00000032394","Tymp",-6.81741659783028,-6.82396556306814,6.62930232877141,1.10263569475114e-08,1.25149151354255e-05
"10","ENSRNOG00000009350","Sez6",-7.82636578585729,-7.8390059931519,6.69305859342063,1.43601817581461e-08,1.49405724375379e-05
"8","ENSRNOG00000007218","Leap2",-5.18036650473708,-5.18900033321651,4.56076157449981,2.03718564290141e-08,1.65126693152499e-05
"5","ENSRNOG00000004391","Rdh7",-4.26721818533191,-4.26749961618198,8.65038658906272,2.03967337041116e-08,1.65126693152499e-05
"7","ENSRNOG00000007069","Adhfe1",-5.90672648058859,-5.91030091574421,6.59103607911745,2.04565442192463e-08,1.65126693152499e-05
"15","ENSRNOG00000011269","Sult1c3",-5.80916967115794,-5.81074780530769,7.68259951538097,2.11616106563075e-08,1.65126693152499e-05
"18","ENSRNOG00000013241","LOC100361347",-6.69016052525155,-6.69104951664332,9.38904361075209,2.54186278466315e-08,1.76781921001905e-05
"29","ENSRNOG00000023587","DHTK1_RAT",-4.20615989310059,-4.20705261125468,6.91772585206447,2.54871812417645e-08,1.76781921001905e-05
"19","ENSRNOG00000014371","Cdh13",7.14064945213067,7.17526072754377,5.18826974872139,3.04731719484301e-08,2.0024081672429e-05
"9","ENSRNOG00000008638","Angptl3",-4.75828437371746,-4.75925838026321,7.33529940003916,3.33057967152993e-08,2.07911435995256e-05
"30","ENSRNOG00000028701","C8g",-3.81112932758084,-3.81199947835303,6.56379345672127,3.70537941329825e-08,2.12853194232677e-05
"6","ENSRNOG00000005794",NA,-6.00566060730207,-6.00667704011164,8.51577093763529,3.90787035251088e-08,2.12853194232677e-05
"36","ENSRNOG00000043201","Cabc1",-4.44190240788064,-4.44235589250145,8.1337482454932,3.921204218944e-08,2.12853194232677e-05
"13","ENSRNOG00000010389","Ndrg2",-5.04711649036369,-5.04759509528016,8.65423648640981,4.2197336524393e-08,2.15032529852534e-05
"14","ENSRNOG00000010478",NA,-7.87581109238866,-7.87647617915591,10.9963155542456,4.37138554666681e-08,2.15032529852534e-05
"31","ENSRNOG00000031279",NA,-6.04817820897765,-6.04907095430289,8.74101292000542,4.54895875320829e-08,2.15032529852534e-05
"34","ENSRNOG00000042298",NA,-7.67266548374205,-7.6872770040254,6.30526305824888,4.65028298439601e-08,2.15032529852534e-05
"25","ENSRNOG00000018426",NA,-5.62293536910795,-5.62328027036685,9.69693533177981,4.89078174635715e-08,2.18076464654532e-05
"26","ENSRNOG00000019587",NA,5.6390096093876,5.64041674408744,8.2539028389283,5.29079704446918e-08,2.27777934828268e-05
"33","ENSRNOG00000033466","Apon",-3.8890288774055,-3.88994737951694,6.56130287052451,5.69354257018182e-08,2.36946263295734e-05
"2","ENSRNOG00000002636","Abat",NA,NA,NA,NA,NA
"3","ENSRNOG00000003370","Otc",NA,NA,NA,NA,NA
"4","ENSRNOG00000004089","ENPP2_RAT",NA,NA,NA,NA,NA
"16","ENSRNOG00000011706","Mbl1",NA,NA,NA,NA,NA
"21","ENSRNOG00000015654","Ghr",NA,NA,NA,NA,NA
"24","ENSRNOG00000017702","Gpld1",NA,NA,NA,NA,NA
