"","ensembl_gene_id","symbol","logFC","unshrunk_logFC","logCPM","PValue","FDR"
"510","ENSRNOG00000010079","Car3",-9.17868654961912,-9.18021181976916,11.0985541985294,7.81778684775677e-10,5.21872452766488e-06
"1090","ENSRNOG00000020420","Pklr",-5.90666523793696,-5.90820591945463,7.81571352173,1.70212931117638e-09,5.21872452766488e-06
"1185","ENSRNOG00000022719","Abcb1b",7.31110420466714,7.3131687260683,9.37673748175604,2.29365862817942e-09,5.21872452766488e-06
"669","ENSRNOG00000012896","Cyp2c11",-7.64610487510291,-7.64684018781159,10.6174916902482,2.33818030516797e-09,5.21872452766488e-06
"861","ENSRNOG00000016349","Gnmt",-6.41306467312028,-6.41728360818558,6.85578468228271,2.69767712364455e-09,5.21872452766488e-06
"482","ENSRNOG00000009438","Serpina6",-5.06112857128162,-5.061821282915,8.13206961837964,3.08190757393474e-09,5.21872452766488e-06
"1591","ENSRNOG00000043131","LOC100360095",-9.8628326789528,-9.89695095435155,7.29251826871317,3.16293797352476e-09,5.21872452766488e-06
"13","ENSRNOG00000000281","Prodh",-4.64189655368278,-4.64395745191653,6.12921417707274,3.45150070278221e-09,5.21872452766488e-06
"849","ENSRNOG00000016168","Amy1a",-4.8356843153668,-4.83610569753705,8.62822021821686,4.15762681149136e-09,5.21872452766488e-06
"1430","ENSRNOG00000032394","Tymp",-6.81741659783028,-6.82396556306814,6.62930232877141,4.17999561687215e-09,5.21872452766488e-06
"817","ENSRNOG00000015519","Ces1d",-5.93953180762277,-5.9405892285106,8.39479873243916,4.93703012235404e-09,5.60352918887183e-06
"479","ENSRNOG00000009350","Sez6",-7.82636578585729,-7.8390059931519,6.69305859342063,5.61867281721711e-09,5.84576084357964e-06
"349","ENSRNOG00000007069","Adhfe1",-5.90672648058859,-5.91030091574421,6.59103607911745,7.57538169000188e-09,6.97237204891997e-06
"359","ENSRNOG00000007218","Leap2",-5.18036650473708,-5.18900033321651,4.56076157449981,8.31726472990316e-09,6.97237204891997e-06
"1210","ENSRNOG00000023587","DHTK1_RAT",-4.20615989310059,-4.20705261125468,6.91772585206447,8.46931381879923e-09,6.97237204891997e-06
"570","ENSRNOG00000011269","Sult1c3",-5.80916967115794,-5.81074780530769,7.68259951538097,8.93535865300116e-09,6.97237204891997e-06
"224","ENSRNOG00000004391","Rdh7",-4.26721818533191,-4.26749961618198,8.65038658906272,9.94758859581146e-09,7.305626095218e-06
"1334","ENSRNOG00000028701","C8g",-3.81112932758084,-3.81199947835303,6.56379345672127,1.09710973053402e-08,7.5031137137314e-06
"685","ENSRNOG00000013241","LOC100361347",-6.69016052525155,-6.69104951664332,9.38904361075209,1.21254002741257e-08,7.5031137137314e-06
"751","ENSRNOG00000014371","Cdh13",7.14064945213067,7.17526072754377,5.18826974872139,1.24352246364788e-08,7.5031137137314e-06
"443","ENSRNOG00000008638","Angptl3",-4.75828437371746,-4.75925838026321,7.33529940003916,1.26203754896563e-08,7.5031137137314e-06
"1593","ENSRNOG00000043201","Cabc1",-4.44190240788064,-4.44235589250145,8.1337482454932,1.676039764518e-08,8.53832286522588e-06
"1465","ENSRNOG00000033466","Apon",-3.8890288774055,-3.88994737951694,6.56130287052451,1.70746037296948e-08,8.53832286522588e-06
"282","ENSRNOG00000005794","Slc10a1",-6.00566060730207,-6.00667704011164,8.51577093763529,1.76782894798914e-08,8.53832286522588e-06
"206","ENSRNOG00000004089","ENPP2_RAT",-3.8051838677161,-3.80621127209572,6.31783477957709,1.82879166026228e-08,8.53832286522588e-06
"1567","ENSRNOG00000042298","D3ZUI8_RAT",-7.67266548374205,-7.6872770040254,6.30526305824888,1.86064609211893e-08,8.53832286522588e-06
"528","ENSRNOG00000010389","Ndrg2",-5.04711649036369,-5.04759509528016,8.65423648640981,1.91136990571858e-08,8.53832286522588e-06
"120","ENSRNOG00000002636","Abat",-4.08118567985643,-4.0823466840171,6.41542992078137,1.95930761634194e-08,8.53832286522588e-06
"534","ENSRNOG00000010478","LOC299282",-7.87581109238866,-7.87647617915591,10.9963155542456,1.98327082972808e-08,8.53832286522588e-06
"1408","ENSRNOG00000031279","Sult2a1",-6.04817820897765,-6.04907095430289,8.74101292000542,2.08439758323255e-08,8.67456794221944e-06
"965","ENSRNOG00000018426","Apoc1",-5.62293536910795,-5.62328027036685,9.69693533177981,2.31865187582652e-08,9.33818344183682e-06
"899","ENSRNOG00000017180","Slc17a2",-4.11383340696073,-4.11572791504099,5.72783908680129,2.56777167715418e-08,9.54673664375293e-06
"1043","ENSRNOG00000019587","Ptprn",5.6390096093876,5.64041674408744,8.2539028389283,2.59583579991346e-08,9.54673664375293e-06
"823","ENSRNOG00000015654","Ghr",-3.74381951214963,-3.74411907343942,8.04566450319021,2.59983216569964e-08,9.54673664375293e-06
"754","ENSRNOG00000014447","Gck",-8.09572774597408,-8.11327162546348,6.47895282143277,2.70021111227248e-08,9.63203878192055e-06
"606","ENSRNOG00000011706","Mbl1",-3.48266166115875,-3.48312208048942,7.16613182080292,2.91455918416169e-08,9.66983157081611e-06
"706","ENSRNOG00000013589","F1LS07_RAT",-4.20231601034572,-4.20281432377456,7.76058031049538,2.94152762953242e-08,9.66983157081611e-06
"924","ENSRNOG00000017702","Gpld1",-3.69459564545978,-3.6950107808599,7.52377844887075,2.94316059023638e-08,9.66983157081611e-06
"958","ENSRNOG00000018339","Cabp2",-5.59047939233404,-5.59811740840368,5.16674336901438,3.27466529225434e-08,1.00865073735785e-05
"589","ENSRNOG00000011474","Ppp1r3b",-4.78240565543895,-4.78311787542562,7.8151748129831,3.31092024229176e-08,1.00865073735785e-05
"170","ENSRNOG00000003370","Otc",-3.63688182333348,-3.63715608286036,8.06868032147547,3.31234923761888e-08,1.00865073735785e-05
"1374","ENSRNOG00000029993","Kynu",-4.43598818537785,-4.43712636336866,6.79559744321232,3.57447719403349e-08,1.0610028178407e-05
"956","ENSRNOG00000018292","D3ZGK7_RAT",-4.11625240141388,-4.116375846558,9.69258934246913,3.65423477510214e-08,1.0610028178407e-05
"810","ENSRNOG00000015438","Ces1e",-3.46199829441332,-3.46252203314915,6.95795293821333,4.17353936944282e-08,1.1842417960794e-05
"1035","ENSRNOG00000019470","Hao2",-4.16385029289135,-4.1641377205037,8.51861672704938,4.4115904977536e-08,1.22397127476564e-05
"738","ENSRNOG00000014118","Klkb1",-4.32017385771721,-4.3207380554123,7.69618264344599,4.56367795029842e-08,1.23864172194513e-05
"977","ENSRNOG00000018606","Olr59",-9.13185210097895,-9.24225890183908,4.89002343770273,4.79007646800831e-08,1.24652636166947e-05
"1446","ENSRNOG00000032978","Tes",4.3451252394112,4.34773423370952,6.06806395072364,4.97566530489567e-08,1.24652636166947e-05
"539","ENSRNOG00000010633","Acsl1",-3.97689274948907,-3.97694967701455,10.6735254967397,5.01614453494415e-08,1.24652636166947e-05
"960","ENSRNOG00000018371","Tubb6",3.79533785346605,3.79698926909781,6.15949768778063,5.06918109862394e-08,1.24652636166947e-05
"1500","ENSRNOG00000036680","RGD1307119",-7.11271663947814,-7.13878046672048,4.91629115347518,5.20711208394823e-08,1.24652636166947e-05
"1416","ENSRNOG00000031612","Gls2",-4.20078839069848,-4.20165296593025,6.96090616368936,5.23702280701918e-08,1.24652636166947e-05
"1192","ENSRNOG00000023116","Tmem195",-3.41750617657134,-3.41783005515574,7.61232631667251,5.29162171954202e-08,1.24652636166947e-05
"1151","ENSRNOG00000021405","LOC100361547",-6.92733663398993,-6.92840277935829,9.36580083613246,5.5250243347226e-08,1.26148737878795e-05
"146","ENSRNOG00000003020","Hdmcp",-3.77991670101584,-3.7805370020363,7.02623320257253,5.64830854878595e-08,1.26148737878795e-05
"1517","ENSRNOG00000037446","Pxmp2",-3.46847162465193,-3.46917074734925,6.54764119092171,5.65825336100321e-08,1.26148737878795e-05
"1565","ENSRNOG00000042228","LOC297568",-6.32597755825649,-6.32602358729224,13.3020196842002,6.2467261352641e-08,1.368252206996e-05
"390","ENSRNOG00000007657","Col27a1",-3.8471137108348,-3.8509706669782,4.40967048720268,6.4200184916719e-08,1.38021021115828e-05
"1351","ENSRNOG00000029179","Cyp2d3",-5.56753232579315,-5.56851282325767,8.12955051579563,6.52241909958657e-08,1.38021021115828e-05
"234","ENSRNOG00000004517","Igf1",-4.48145882185331,-4.48169463037947,9.11791619504892,6.63947552129549e-08,1.38156419805624e-05
"711","ENSRNOG00000013683","S1pr1",-3.7877314050964,-3.78842807557337,6.86662622878201,7.05342170937786e-08,1.4436388531407e-05
"236","ENSRNOG00000004536","Bbox1",-4.04942048661359,-4.05101969250273,5.91520208160152,8.04022290485889e-08,1.58381803221641e-05
"56","ENSRNOG00000001261","Ftcd",-3.66140167127537,-3.6617837597693,7.61246150063167,8.11569368014329e-08,1.58381803221641e-05
"1486","ENSRNOG00000034228","Pik3c2g",-4.68156260422472,-4.69021495169355,4.06372156053715,8.11889099414098e-08,1.58381803221641e-05
"808","ENSRNOG00000015366","Neurl3",4.41452927367751,4.42012206164702,5.05720950151198,8.75262993263476e-08,1.66352184221113e-05
"530","ENSRNOG00000010410","Serpina3k",-7.87050761787138,-7.87082644684183,12.0504197944275,9.08008068201966e-08,1.66352184221113e-05
"897","ENSRNOG00000017105","F1M891_RAT",-2.97425587262891,-2.97467226503539,6.8103699156724,9.12361810789158e-08,1.66352184221113e-05
"1385","ENSRNOG00000030225","Clpx",-3.34413089805845,-3.34436619065675,8.00304390237633,9.18604289189358e-08,1.66352184221113e-05
"756","ENSRNOG00000014453","Anxa5",3.35875339453582,3.3593036605581,7.28263150784769,9.30684784516304e-08,1.66352184221113e-05
"163","ENSRNOG00000003280","Grin2c",9.15286317842695,9.25483071096237,5.6668012093176,9.55996887594108e-08,1.66352184221113e-05
"1123","ENSRNOG00000020900","Prodh2",-4.05943027745094,-4.06052088951174,6.47675716826438,9.62298516602968e-08,1.66352184221113e-05
"459","ENSRNOG00000008988","Cyp2d2",-4.11416612074243,-4.11428250188349,9.77603461755727,9.6538822114616e-08,1.66352184221113e-05
"172","ENSRNOG00000003463","Srebf1",-3.63121650367253,-3.63148470448394,8.09420186043149,9.81654327943019e-08,1.66352184221113e-05
"1529","ENSRNOG00000038607","Tmem86b",-3.354687153954,-3.35513019837419,7.09474461433683,9.88813596649421e-08,1.66352184221113e-05
"728","ENSRNOG00000013950","Aadac",-4.07009185529702,-4.07207221124732,5.62340042250518,1.00148948401711e-07,1.66352184221113e-05
"820","ENSRNOG00000015588","Nol3",7.33290649254606,7.35378853422434,6.08837357604453,1.01677890465964e-07,1.66352184221113e-05
"563","ENSRNOG00000011184","Slc13a4",-5.40573949222248,-5.4109752535208,5.52629003188976,1.0259606075311e-07,1.66352184221113e-05
"673","ENSRNOG00000012989","Serinc2",5.48940782625989,5.51504957517044,3.99530822307477,1.10411776186038e-07,1.76729618677268e-05
"329","ENSRNOG00000006675","Fabp1",-3.71879567019932,-3.71884908694894,10.5123593595719,1.15165282007258e-07,1.82004879222862e-05
"305","ENSRNOG00000006094","Cd44",4.65645681333673,4.65946034746725,6.1825488370132,1.1972914349813e-07,1.86852294571769e-05
"595","ENSRNOG00000011573","Csad",-3.89386750777921,-3.8942240689089,7.9399951095613,1.22887871005182e-07,1.89414206111073e-05
"1109","ENSRNOG00000020704","Dak",-3.97364817515558,-3.97416434316627,7.48521354164944,1.34112196686785e-07,2.04193997028598e-05
"353","ENSRNOG00000007136","Anxa7",3.66074011040823,3.66126160471734,7.67229733215608,1.44537815129565e-07,2.11357665548271e-05
"542","ENSRNOG00000010658","Cth",-3.92783288522178,-3.92797917024622,9.26321004916732,1.45168728842557e-07,2.11357665548271e-05
"1340","ENSRNOG00000028823","Rup2",-7.76445517573103,-7.76510691681367,10.9101385107377,1.4817561488206e-07,2.11357665548271e-05
"407","ENSRNOG00000008047","Khk",-3.3962815251679,-3.39665109174473,7.39959030717746,1.48599253250117e-07,2.11357665548271e-05
"919","ENSRNOG00000017601","Srd5a1",-4.08891579224729,-4.0894128738298,7.65372029452051,1.48827832290938e-07,2.11357665548271e-05
"873","ENSRNOG00000016648","GGLO_RAT",-3.21288755746673,-3.21299689651863,8.98159740545311,1.48974566025213e-07,2.11357665548271e-05
"1114","ENSRNOG00000020817","Cyp2a2",-3.8903963988169,-3.8905810518765,8.88861786568542,1.51956754957848e-07,2.11808918722506e-05
"561","ENSRNOG00000011141","Serpina11",-3.06566355389298,-3.06622098337961,6.4790117985334,1.52971163901087e-07,2.11808918722506e-05
"325","ENSRNOG00000006623","Cd302",-3.0645494774227,-3.06478939259673,7.69947505373756,1.54382151411679e-07,2.11808918722506e-05
"697","ENSRNOG00000013452","Rcn1",3.33145930064143,3.33226799382163,6.70159486794871,1.61722269581031e-07,2.19467666925997e-05
"1159","ENSRNOG00000021575","LOC683745",-3.24816090944395,-3.24892020446304,6.20691687292264,1.73011599059416e-07,2.31435137212021e-05
"527","ENSRNOG00000010362","Anxa2",5.09261494452405,5.09336992877387,8.59704408093919,1.74248321168842e-07,2.31435137212021e-05
"392","ENSRNOG00000007700","Inhbc",-3.69838224535383,-3.69902701900538,6.89058452891014,1.76821956995139e-07,2.3238127716677e-05
"694","ENSRNOG00000013410","Spink1",-4.80366267340151,-4.8069691988902,5.59860524299951,1.85563304719911e-07,2.39957935004187e-05
"1560","ENSRNOG00000042042","D3ZJ83_RAT",-3.90378793770102,-3.9047189885153,6.56065608859834,1.86431074853073e-07,2.39957935004187e-05
"355","ENSRNOG00000007139","Ttpa",-3.22214629874751,-3.22225762690607,8.96453347476102,1.92840041831915e-07,2.45365552392648e-05
"1582","ENSRNOG00000042863","CP2J3_RAT",-3.21538805496458,-3.21625270865152,5.98756446122428,1.94562993086681e-07,2.45365552392648e-05
"856","ENSRNOG00000016275","Ttr",-3.77815574064018,-3.77817581101329,11.9831567976579,2.08483738087393e-07,2.6029194700211e-05
"828","ENSRNOG00000015747","Lipc",-3.8293753417663,-3.82974023242496,7.84598209880133,2.11692292806288e-07,2.61681017394703e-05
"508","ENSRNOG00000010031","Q7TQ11_RAT",-4.70640813880486,-4.70647771014631,11.1012774929052,2.15031473804065e-07,2.63202740239583e-05
