"","ensembl_transcript_id","symbol","logFC","unshrunk_logFC","logCPM","PValue","FDR"
"394","ENSRNOT00000022307","Gnmt-201",-6.639067452407,-6.64412193204764,6.71614343798041,1.68729636510784e-08,0.000174056539857806
"1104","ENSRNOT00000087017","LOC500712-208",-8.49936151925574,-8.50005833091092,11.4371553280109,2.84260430252879e-08,0.000174056539857806
"663","ENSRNOT00000047126","Abcb4-204",8.57270617997361,8.57770045052568,9.25345335730195,3.41881326011983e-08,0.000174056539857806
"1130","ENSRNOT00000088853","Cyp2c11-201",-9.19278416820168,-9.19528737331112,10.2852771953039,4.25332127455082e-08,0.000174056539857806
"245","ENSRNOT00000014180","Car3-201",-9.12747044979685,-9.12899543414954,10.9361086307422,5.44665871808857e-08,0.000178312713112784
"214","ENSRNOT00000012500","Serpina6-201",-5.00311511385792,-5.00377936952724,8.02632023803038,8.01453023846002e-08,0.000211949799693184
"34","ENSRNOT00000002576","Prodh1-201",-4.66530846116544,-4.66857782050652,5.3878579880097,9.86343120139364e-08,0.000211949799693184
"396","ENSRNOT00000022496","Amy1a-201",-4.78463840562153,-4.78505557204173,8.48235427437326,1.03585948900084e-07,0.000211949799693184
"616","ENSRNOT00000041367","Sult2a2-202",-6.6374577681563,-6.63890516367468,8.5205300767297,1.45462930088486e-07,0.000262697470397857
"927","ENSRNOT00000077053","Cdh13-202",6.86839061313589,6.89889577211351,4.96883602338446,1.8658544095761e-07,0.000262697470397857
"793","ENSRNOT00000065978","Dhtkd1-201",-4.10764994729207,-4.10804369943512,7.89897706936629,1.8877556838861e-07,0.000262697470397857
"818","ENSRNOT00000068043","LOC100360095-201",-10.0108563786763,-10.0267818098793,8.41984723466081,2.27064467462031e-07,0.000262697470397857
"770","ENSRNOT00000061904","C8g-201",-3.75841250986023,-3.759272651095,6.4254254018877,2.70415886385127e-07,0.000262697470397857
"1112","ENSRNOT00000087471","LOC102549726-203",4.76170480127408,4.76621925586942,5.58225669092003,2.70899204768299e-07,0.000262697470397857
"1191","ENSRNOT00000091845","Hao2-203",-4.38405244697979,-4.38483025287914,7.18704218808442,2.72492243163582e-07,0.000262697470397857
"194","ENSRNOT00000011486","Angptl3-201",-4.82376180901744,-4.82435424765035,8.01311798553302,2.91252471068116e-07,0.000262697470397857
"619","ENSRNOT00000041499","Pik3c2g-201",-4.73580353137251,-4.74203873367975,4.52232691795472,3.0349988446106e-07,0.000262697470397857
"677","ENSRNOT00000048543","Sez6-201",-7.78949324521346,-7.80201639004255,6.56717254442217,3.04293876858568e-07,0.000262697470397857
"784","ENSRNOT00000065232","AABR07057436.1-202",-4.24331211812339,-4.24395535272396,7.32170813521177,3.04921005410183e-07,0.000262697470397857
"1196","ENSRNOT00000092017","Cyp2d1-204",-3.94076547782681,-3.94200786223397,6.07300972617242,3.48565959796221e-07,0.000285283809795217
"154","ENSRNOT00000009462","Adhfe1-201",-5.85830939611725,-5.8618510188132,6.45401566722073,3.71750159819308e-07,0.000289770398384869
"92","ENSRNOT00000005875","AABR07057436.1-201",-4.00560174258026,-4.00673758581489,6.26922995389168,4.37496150289697e-07,0.000300133492001568
"943","ENSRNOT00000077912","LOC100365958-203",-3.99483233738908,-3.99644022891515,5.7512110541859,4.39431049139868e-07,0.000300133492001568
"24","ENSRNOT00000001990","LOC100361492-201",5.29060850899178,5.30266535642159,4.71484764773311,4.52684933132178e-07,0.000300133492001568
"636","ENSRNOT00000043908","Apon-201",-3.83701338918632,-3.83792174235783,6.42317863569754,4.92455281166011e-07,0.000300133492001568
"280","ENSRNOT00000015961","LOC100911581-201",-4.08229379621245,-4.08581775290434,4.69800273064784,5.73363863048999e-07,0.000300133492001568
"654","ENSRNOT00000046169","Apoc1-201",-5.57341357454844,-5.57376028162848,9.52912445702337,5.73986881498884e-07,0.000300133492001568
"732","ENSRNOT00000056680","Pxmp2-201",-3.57709510657631,-3.57785076445312,6.43733492598954,5.92149237897241e-07,0.000300133492001568
"44","ENSRNOT00000003633","Abat-201",-3.98581762994509,-3.98676957199341,6.5058399532128,5.96420363658605e-07,0.000300133492001568
"501","ENSRNOT00000027700","Pklr-201",-5.77568671889565,-5.77855319218005,6.68220167673666,6.1216068952753e-07,0.000300133492001568
"1172","ENSRNOT00000090985","Apoc3-202",-5.36850757372751,-5.37428331643385,5.26651033897691,6.33923876844819e-07,0.000300133492001568
"121","ENSRNOT00000007825","Slc10a1-201",-5.95442166915351,-5.95542885176538,8.36837567133237,6.35271524779769e-07,0.000300133492001568
"482","ENSRNOT00000026654","Ptprn-201",5.72343854675494,5.72488665361659,8.1829942297064,6.47248771061029e-07,0.000300133492001568
"440","ENSRNOT00000024947","Tubb6-201",3.84852249069427,3.85022580782196,6.04951496536037,6.49112097996882e-07,0.000300133492001568
"67","ENSRNOT00000004686","Otc-201",-3.58955423748661,-3.58982048088478,7.95585604030425,6.54624991149476e-07,0.000300133492001568
"434","ENSRNOT00000024622","Ces1f-203",-4.0790881135762,-4.07916153310387,10.2949093768827,6.60077323725117e-07,0.000300133492001568
"272","ENSRNOT00000015723","Mbl1-201",-3.42993403209397,-3.4303886848935,7.02597639833943,7.21332169951603e-07,0.000315741690974891
"428","ENSRNOT00000024196","Gpld1-201",-3.64241724010707,-3.64282756175332,7.38185606914773,7.32982116014775e-07,0.000315741690974891
"249","ENSRNOT00000014235","Acsl1-201",-3.91994827975497,-3.92000636920727,10.4767651555119,7.62047208714558e-07,0.000319844891267913
"1042","ENSRNOT00000083500","Ces1f-206",-3.44793467552061,-3.448742661169,6.21100625724367,8.44988183048767e-07,0.000343111939326123
"1079","ENSRNOT00000085897","Ndrg2-203",-5.46945072987984,-5.47037071142692,8.02077539280294,8.59404332113816e-07,0.000343111939326123
"1175","ENSRNOT00000091095","Tes-201",4.39435258969369,4.39703965275775,5.95467467643862,9.16052533808755e-07,0.000353324308379427
"707","ENSRNOT00000051720","Ppp1r3b-201",-4.74992225621972,-4.75065349464568,7.6369221389989,9.28945691112073e-07,0.000353324308379427
"310","ENSRNOT00000017577","Serinc2-201",5.54296977978591,5.56935399163516,3.86526059908448,9.72931853351955e-07,0.000353324308379427
"535","ENSRNOT00000030135","Coq8a-201",-4.36760537291349,-4.36819227513145,7.57950762027926,9.76018854475834e-07,0.000353324308379427
"854","ENSRNOT00000073228","Gckr-201",-3.53822094419817,-3.53854652117056,7.61527662112162,9.92908435790436e-07,0.000353324308379427
"595","ENSRNOT00000038780","Igf1-202",-4.68446654312075,-4.68483170834469,8.57614081807457,1.12615531364929e-06,0.000382836133470877
"259","ENSRNOT00000015189","Sult1c3-201",-5.73249996499723,-5.7339277415191,7.64400980112052,1.188767003111e-06,0.000382836133470877
"86","ENSRNOT00000005561","Enpp2-201",-3.78670545235797,-3.78865817171505,5.26850603440857,1.20986155152572e-06,0.000382836133470877
"372","ENSRNOT00000021081","Ghr-201",-4.2664699561296,-4.26826637402359,5.86230667280252,1.23140077016631e-06,0.000382836133470877
"1091","ENSRNOT00000086343","Gck-202",-7.97114218820695,-7.99069734442209,6.0961775504582,1.25959286114624e-06,0.000382836133470877
