"","ensembl_transcript_id","symbol","logFC","unshrunk_logFC","logCPM","PValue","FDR"
"312","ENSRNOT00000022307","Gnmt-201",-6.69583721540585,-6.70212870490199,6.66058748923008,1.80160146348938e-08,0.000145191185334636
"876","ENSRNOT00000088853","Cyp2c11-201",-9.11343189545337,-9.11628066021198,10.2510314049732,3.28587350015438e-08,0.000145191185334636
"482","ENSRNOT00000041367","Sult2a2-202",-6.47124556847392,-6.47278484982575,8.49298056815438,3.44753585231062e-08,0.000145191185334636
"194","ENSRNOT00000014180","Car3-201",-9.04469066861518,-9.04641142448097,10.912842755405,3.5047054573565e-08,0.000145191185334636
"856","ENSRNOT00000087017","LOC500712-208",-8.39337507071046,-8.39413220133389,11.4462918179101,4.83155094606911e-08,0.000160127261454623
"636","ENSRNOT00000068043","LOC100360095-201",-9.9505840081369,-9.96857460465162,8.40411200595681,1.20088023701111e-07,0.000316152251831538
"122","ENSRNOT00000009462","Adhfe1-201",-5.76222017512425,-5.76634142282692,6.33291385912205,1.44797040010937e-07,0.000316152251831538
"391","ENSRNOT00000027700","Pklr-201",-5.66661633125132,-5.66984556415816,6.60195556876126,1.64673527294421e-07,0.000316152251831538
"170","ENSRNOT00000012500","Serpina6-201",-4.91979234842819,-4.92054565738633,7.9850757187529,1.7170781886934e-07,0.000316152251831538
"566","ENSRNOT00000054947","Notum-201",-7.11835196049236,-7.14635292364934,4.87527945520789,1.95724146133787e-07,0.000317572903766139
"559","ENSRNOT00000051720","Ppp1r3b-201",-4.62315208745128,-4.62399376591727,7.52626909785993,2.10808155297057e-07,0.000317572903766139
"314","ENSRNOT00000022496","Amy1a-201",-4.69024828515033,-4.69071509444092,8.45335631593024,2.61072515855416e-07,0.000355056619417183
"538","ENSRNOT00000048543","Sez6-201",-7.69802024054813,-7.7132494861035,6.38880850916047,2.78542999965203e-07,0.000355056619417183
"26","ENSRNOT00000002576","Prodh1-201",-4.46589005166819,-4.46934612338282,5.27396752760195,3.56509276445191e-07,0.000376533399333403
"154","ENSRNOT00000011486","Angptl3-201",-4.79056168681263,-4.79123726408258,8.01399568298326,4.04616849538594e-07,0.000376533399333403
"263","ENSRNOT00000018737","Gls2-201",-3.96182859042597,-3.96284587061747,6.58919392429224,4.12337175494811e-07,0.000376533399333403
"615","ENSRNOT00000065791","Pklr-202",-5.98689178432852,-5.99089739091279,6.6106333717316,4.1433953023538e-07,0.000376533399333403
"611","ENSRNOT00000065232","AABR07057436.1-202",-4.13696182421166,-4.13765476679589,7.32634030514923,4.3919036705996e-07,0.000376533399333403
"76","ENSRNOT00000005875","AABR07057436.1-201",-4.01919110428612,-4.02061653171662,6.14852414524073,4.62129871063429e-07,0.000376533399333403
"519","ENSRNOT00000046169","Apoc1-201",-5.56310702875675,-5.56349973124038,9.57043705030568,5.05227229023712e-07,0.000376533399333403
"905","ENSRNOT00000090865","Ces1d-203",-6.03070728371669,-6.03361371998257,7.13041406289229,5.1931569496098e-07,0.000376533399333403
"617","ENSRNOT00000065978","Dhtkd1-201",-4.01302904366993,-4.01347991533568,7.83271781454851,5.22575610247064e-07,0.000376533399333403
"528","ENSRNOT00000047126","Abcb4-204",8.43675258722872,8.44234851171805,9.29277245036056,5.46192267721602e-07,0.000376533399333403
"254","ENSRNOT00000017969","Spink1l-201",-4.53450526452066,-4.53676018669176,5.98181009903973,6.03574662790985e-07,0.000376533399333403
"484","ENSRNOT00000041499","Pik3c2g-201",-4.5906681940231,-4.59779063167863,4.29746011382239,6.166121256942e-07,0.000376533399333403
"465","ENSRNOT00000038780","Igf1-202",-4.63874090281992,-4.63916930401026,8.5270085456887,6.33953357471086e-07,0.000376533399333403
"602","ENSRNOT00000061904","C8g-201",-3.70986175443973,-3.71085324254099,6.37281901387535,6.36162288974787e-07,0.000376533399333403
"35","ENSRNOT00000003633","Abat-201",-3.95137055519017,-3.95246431637348,6.47343347449738,6.57285348262344e-07,0.000376533399333403
"561","ENSRNOT00000052243","LOC259244-203",-6.0691725469109,-6.06954325319156,10.1567528601893,6.58950490656489e-07,0.000376533399333403
"378","ENSRNOT00000026654","Ptprn-201",5.61803969877769,5.61957679441252,8.19384869975114,7.04776402683078e-07,0.00037909816083676
