"","ensembl_transcript_id","symbol","logFC","unshrunk_logFC","logCPM","PValue","FDR"
"693","ENSRNOT00000065791","Pklr",-5.74722455974532,-5.74895127268556,7.72914571689308,7.31197212882369e-08,0.000803799045397525
"203","ENSRNOT00000014180","Car3",-9.05716251872437,-9.05887857679369,11.0485725839967,1.12443167709573e-07,0.000803799045397525
"256","ENSRNOT00000017310","Cyp2c11",-8.67793894543615,-8.67979150560523,10.5579060574644,2.34855433179988e-07,0.000803799045397525
"636","ENSRNOT00000057271","SPI21_RAT",-8.05418962103655,-8.05505029595028,11.0425448394991,2.42270128004458e-07,0.000803799045397525
"448","ENSRNOT00000030039","LOC100361347",-6.69545299915984,-6.69647830135842,9.43310677408635,3.45804975270038e-07,0.000803799045397525
"716","ENSRNOT00000068043","LOC100360095",-9.7626659856572,-9.8008957822995,7.25957012776985,4.01291511964446e-07,0.000803799045397525
"572","ENSRNOT00000047126","Abcb1b",7.43259113743782,7.43524329420322,9.42823118133741,4.14517920520009e-07,0.000803799045397525
"133","ENSRNOT00000009462","Adhfe1",-5.77714742130978,-5.78128080220785,6.48055008987522,5.47555721255852e-07,0.000803799045397525
"334","ENSRNOT00000022496","Amy1a",-4.44262064002006,-4.44488381733629,6.02357792543523,5.55428449654325e-07,0.000803799045397525
"178","ENSRNOT00000012500","Serpina6",-4.94064373854504,-4.94142195587977,8.08264620299737,5.61036539159467e-07,0.000803799045397525
"291","ENSRNOT00000019625","Gck",-8.28519052272157,-8.31161286382905,6.31440025073834,6.19948692293357e-07,0.000803799045397525
"609","ENSRNOT00000051720","Ppp1r3b",-4.62723149850016,-4.62804230980437,7.71182032127903,7.35487868700316e-07,0.000803799045397525
"132","ENSRNOT00000009461","Q5M9I7_RAT",-5.18689788705166,-5.19678116903794,4.57450141470741,8.21922977742573e-07,0.000803799045397525
"618","ENSRNOT00000054947","RGD1307119",-7.12702571220695,-7.15505082079846,5.04143370355977,8.77743224003996e-07,0.000803799045397525
"681","ENSRNOT00000065021","E9PSI7_RAT",-4.77062515640028,-4.7712144087659,8.31825265303912,8.84152398895518e-07,0.000803799045397525
"612","ENSRNOT00000052129","Sult2a1",-5.94555224506958,-5.94655682990242,8.70917813408579,9.09429409469748e-07,0.000803799045397525
"26","ENSRNOT00000002576","Prodh",-4.41882659238404,-4.42122003672668,5.91490380329389,9.15648916474296e-07,0.000803799045397525
"82","ENSRNOT00000005875","Rdh7",-4.16734248661219,-4.16766534107695,8.59320725888633,1.02361661784296e-06,0.000803799045397525
"511","ENSRNOT00000040541","Tymp",-6.57886871099066,-6.58613036567363,6.46606835248637,1.04484465108853e-06,0.000803799045397525
"332","ENSRNOT00000022307","Gnmt",-6.33820749917937,-6.34296581410148,6.83906760024914,1.05318300463988e-06,0.000803799045397525
"72","ENSRNOT00000005561","D3ZES5_RAT",-3.89723076902628,-3.89859246065582,6.22913348051681,1.11544789053927e-06,0.000803799045397525
"502","ENSRNOT00000038780","Igf1",-4.66828340686007,-4.66877645203862,8.47574040645199,1.14553209812435e-06,0.000803799045397525
"278","ENSRNOT00000018737","Gls2",-3.98952760288808,-3.9905206656572,6.7850485838016,1.2678856164281e-06,0.000850971750469592
"311","ENSRNOT00000021081","Q5RJL5_RAT",-4.10882020907097,-4.11037770627663,6.24079469813938,1.38475925775143e-06,0.000877254660909103
"664","ENSRNOT00000061904","C8g",-3.72949787201405,-3.73049299521502,6.52061732459456,1.42938040295578e-06,0.000877254660909103
"449","ENSRNOT00000030135","Cabc1",-4.38420349807628,-4.38472220179493,8.12062054840126,1.47752938936559e-06,0.000877254660909103
"36","ENSRNOT00000003633","Abat",-4.02128196203701,-4.02258705590824,6.41706471875223,1.53574933988895e-06,0.000878050465180212
"560","ENSRNOT00000046169","Apoc1",-5.57403027227539,-5.57441786953,9.72096864138923,1.80576379226018e-06,0.000967777703469965
"217","ENSRNOT00000015189","Sult1c3",-5.73966852444716,-5.74144608431311,7.67759442428309,1.81807044118864e-06,0.000967777703469965
"229","ENSRNOT00000015723","Mbl1",-3.4691950609469,-3.46970915827522,7.22979812382202,1.92591665585295e-06,0.000991012513880065
"689","ENSRNOT00000065538","D3ZUI8_RAT",-7.66040030677253,-7.67683636405293,6.34939956142972,2.1028298726736e-06,0.00101845560330943
"405","ENSRNOT00000026654","Ptprn",5.5748625141275,5.57638315957156,8.28039874463638,2.11119902221297e-06,0.00101845560330943
"364","ENSRNOT00000024622","D3ZGK7_RAT",-4.05191484448889,-4.05205507754653,9.68638051526458,2.25035150809247e-06,0.00103920596433972
"633","ENSRNOT00000056680","Pxmp2",-3.52495845862729,-3.52588740349824,6.42133767367169,2.40861397946217e-06,0.00103920596433972
"306","ENSRNOT00000020775","Ces1e",-3.32982234286098,-3.33040888763065,6.89935556556052,2.4166639827029e-06,0.00103920596433972
