"","ensembl_gene_id","symbol","logFC","unshrunk_logFC","logCPM","PValue","FDR"
"474","ENSRNOG00000016349","Gnmt",-6.74880721305877,-6.75511994603619,6.64416178460421,9.80328158550844e-11,9.83448788741528e-07
"920","ENSRNOG00000052810","Cyp2c11",-9.16898447521417,-9.17184395808005,10.2779564909446,1.89229357148729e-10,9.83448788741528e-07
"282","ENSRNOG00000010079","Car3",-9.09974214635504,-9.10147044283588,10.9406268338003,2.20834308849146e-10,9.83448788741528e-07
"587","ENSRNOG00000020420","Pklr",-5.87622374683989,-5.87801844990773,7.62945144495598,3.24735932709669e-10,1.08461801525029e-06
"829","ENSRNOG00000043131","LOC100360095",-10.0029949649365,-10.0210017266457,8.41949150820536,5.87800199850925e-10,1.57060213400167e-06
"184","ENSRNOG00000007069","Adhfe1",-5.81639383789227,-5.82053087668506,6.30093732436099,1.34918965576838e-09,2.51795886891448e-06
"792","ENSRNOG00000036680","Notum",-7.17783457665117,-7.20597091538112,4.79444751151448,1.47435065586051e-09,2.51795886891448e-06
"266","ENSRNOG00000009350","Sez6",-7.75071668174174,-7.76600925403611,6.3735200337265,1.5077598017452e-09,2.51795886891448e-06
"268","ENSRNOG00000009438","Serpina6",-4.97317308009835,-4.97393004529573,7.99405288935346,2.26486407649638e-09,3.36206489577685e-06
"1011","ENSRNOG00000061527","Gck",-7.93889509855298,-7.95808249579004,6.16696424182718,3.19555059754739e-09,4.26925559832331e-06
"774","ENSRNOG00000033529","Amy1a",-4.74425331527349,-4.74472262428686,8.46707967749794,4.296449584707e-09,5.13759138419452e-06
"316","ENSRNOG00000011269","Sult1c3",-5.76417383152942,-5.7657327977503,7.72819681189051,4.86167554481825e-09,5.13759138419452e-06
"536","ENSRNOG00000018606","Olr59",-8.80614430743082,-8.91232418097918,4.51271994117264,4.99915329300365e-09,5.13759138419452e-06
"240","ENSRNOG00000008638","Angptl3",-4.84337200033587,-4.84405061677408,8.02327118172186,5.88740251962646e-09,5.4880946282201e-06
"329","ENSRNOG00000011474","Ppp1r3b",-4.65383947055084,-4.65464148135846,7.57917076624606,6.18724323231994e-09,5.4880946282201e-06
"9","ENSRNOG00000000281","Prodh1",-4.46889728865761,-4.47129385058797,5.72972970557717,6.57256841703006e-09,5.4880946282201e-06
