"","ensembl_gene_id","symbol","logFC","unshrunk_logFC","logCPM","PValue","FDR"
"333","ENSRNOG00000010079","Car3",-9.17868654961912,-9.18021181976916,11.0985541985294,8.42139758663865e-10,6.73350232734564e-06
"730","ENSRNOG00000020420","Pklr",-5.90666523793696,-5.90820591945463,7.81571352173,2.147373141508e-09,6.73350232734564e-06
"788","ENSRNOG00000022719","Abcb1b",7.31110420466714,7.3131687260683,9.37673748175604,2.60623458131929e-09,6.73350232734564e-06
"442","ENSRNOG00000012896","Cyp2c11",-7.64610487510291,-7.64684018781159,10.6174916902482,2.62811065772742e-09,6.73350232734564e-06
"579","ENSRNOG00000016349","Gnmt",-6.41306467312028,-6.41728360818558,6.85578468228271,3.30488106006411e-09,6.73350232734564e-06
"1092","ENSRNOG00000043131","LOC100360095",-9.8628326789528,-9.89695095435155,7.29251826871317,3.46859775876736e-09,6.73350232734564e-06
"312","ENSRNOG00000009438","Serpina6",-5.06112857128162,-5.061821282915,8.13206961837964,4.2944129101237e-09,6.73350232734564e-06
"973","ENSRNOG00000032394","Tymp",-6.81741659783028,-6.82396556306814,6.62930232877141,5.01694502964837e-09,6.73350232734564e-06
"10","ENSRNOG00000000281","Prodh",-4.64189655368278,-4.64395745191653,6.12921417707274,5.26026547117481e-09,6.73350232734564e-06
"572","ENSRNOG00000016168","Amy1a",-4.8356843153668,-4.83610569753705,8.62822021821686,6.00297416828981e-09,6.73350232734564e-06
"547","ENSRNOG00000015519","Ces1d",-5.93953180762277,-5.9405892285106,8.39479873243916,6.18464054461216e-09,6.73350232734564e-06
"310","ENSRNOG00000009350","Sez6",-7.82636578585729,-7.8390059931519,6.69305859342063,6.47192854851002e-09,6.73350232734564e-06
"223","ENSRNOG00000007069","Adhfe1",-5.90672648058859,-5.91030091574421,6.59103607911745,9.67713916627318e-09,9.29377557622467e-06
"378","ENSRNOG00000011269","Sult1c3",-5.80916967115794,-5.81074780530769,7.68259951538097,1.13766593108484e-08,9.9737525284503e-06
"230","ENSRNOG00000007218","Leap2",-5.18036650473708,-5.18900033321651,4.56076157449981,1.19828824931321e-08,9.9737525284503e-06
"808","ENSRNOG00000023587","DHTK1_RAT",-4.20615989310059,-4.20705261125468,6.91772585206447,1.41857073501397e-08,1.05017007633875e-05
"456","ENSRNOG00000013241","LOC100361347",-6.69016052525155,-6.69104951664332,9.38904361075209,1.42994724050931e-08,1.05017007633875e-05
"500","ENSRNOG00000014371","Cdh13",7.14064945213067,7.17526072754377,5.18826974872139,1.59702349920594e-08,1.06799782095634e-05
"145","ENSRNOG00000004391","Rdh7",-4.26721818533191,-4.26749961618198,8.65038658906272,1.62530705632122e-08,1.06799782095634e-05
"287","ENSRNOG00000008638","Angptl3",-4.75828437371746,-4.75925838026321,7.33529940003916,1.85722576052351e-08,1.14874450979868e-05
"895","ENSRNOG00000028701","C8g",-3.81112932758084,-3.81199947835303,6.56379345672127,2.09038573362973e-08,1.14874450979868e-05
"1073","ENSRNOG00000042298","D3ZUI8_RAT",-7.67266548374205,-7.6872770040254,6.30526305824888,2.16416186091171e-08,1.14874450979868e-05
"181","ENSRNOG00000005794","Slc10a1",-6.00566060730207,-6.00667704011164,8.51577093763529,2.19802164130412e-08,1.14874450979868e-05
"351","ENSRNOG00000010478","LOC299282",-7.87581109238866,-7.87647617915591,10.9963155542456,2.2082393460287e-08,1.14874450979868e-05
"952","ENSRNOG00000031279","Sult2a1",-6.04817820897765,-6.04907095430289,8.74101292000542,2.5788690576838e-08,1.22936780646308e-05
"1094","ENSRNOG00000043201","Cabc1",-4.44190240788064,-4.44235589250145,8.1337482454932,2.62310443295479e-08,1.22936780646308e-05
"345","ENSRNOG00000010389","Ndrg2",-5.04711649036369,-5.04759509528016,8.65423648640981,2.65862481173434e-08,1.22936780646308e-05
"645","ENSRNOG00000018426","Apoc1",-5.62293536910795,-5.62328027036685,9.69693533177981,2.98194506143886e-08,1.31468133764938e-05
"502","ENSRNOG00000014447","Gck",-8.09572774597408,-8.11327162546348,6.47895282143277,3.09453420881389e-08,1.31468133764938e-05
